=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 94: Swap (1,7) = 2 <=> (2,6) = 5 | Lỗi: 14 | Conflicts: 23 | Tổng: 2.8166s | Sigma: 37.7237
Bước 95: Swap (1,7) = 3 <=> (0,7) = 2 | Lỗi: 13 | Conflicts: 22 | Tổng: 2.8493s | Sigma: 37.3464
Bước 96: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 17 | Conflicts: 28 | Tổng: 2.8822s | Sigma: 36.9730
Bước 97: Swap (0,0) = 8 <=> (0,2) = 7 | Lỗi: 15 | Conflicts: 24 | Tổng: 2.9213s | Sigma: 36.6032
Bước 98: Swap (7,3) = 7 <=> (7,4) = 2 | Lỗi: 13 | Conflicts: 21 | Tổng: 2.9523s | Sigma: 36.2372
Bước 99: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi:  9 | Conflicts: 15 | Tổng: 2.9814s | Sigma: 35.8748
Bước 100: Swap (0,7) = 5 <=> (2,6) = 2 | Lỗi:  8 | Conflicts: 13 | Tổng: 3.0076s | Sigma: 35.5161
Bước 101: Swap (0,8) = 5 <=> (0,7) = 1 | Lỗi:  8 | Conflicts: 14 | Tổng: 3.0398s | Sigma: 35.1609
Bước 102: Swap (7,3) = 2 <=> (7,4) = 7 | Lỗi: 10 | Conflicts: 16 | Tổng: 3.0754s | Sigma: 34.8093
Bước 103: Swap (6,4) = 7 <=> (7,4) = 8 | Lỗi: 10 | Conflicts: 15 | Tổng: 3.1075s | Sigma: 34.4612
Bước 104: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 14 | Conflicts: 21 | Tổng: 3.1405s | Sigma: 34.1166
Bước 105: Swap (2,6) = 1 <=> (0,7) = 2 | Lỗi: 14 | Conflicts: 21 | Tổng: 3.1730s | Sigma: 33.7754
Bước 106: Swap (7,4) = 7 <=> (6,4) = 8 | Lỗi: 14 | Conflicts: 22 | Tổng: 3.2054s | Sigma: 33.4377
Bước 107: Swap (6,4) = 2 <=> (7,3) = 8 | Lỗi: 12 | Conflicts: 19 | Tổng: 3.2383s | Sigma: 33.1033
Bước 108: Swap (0,0) = 4 <=> (2,1) = 8 | Lỗi: 16 | Conflicts: 25 | Tổng: 3.2694s | Sigma: 32.7723
Bước 109: Swap (0,7) = 1 <=> (2,6) = 2 | Lỗi: 16 | Conflicts: 26 | Tổng: 3.3024s | Sigma: 32.4446
Bước 110: Swap (6,4) = 7 <=> (7,4) = 2 | Lỗi: 18 | Conflicts: 29 | Tổng: 3.3318s | Sigma: 32.1201
Bước 111: Swap (2,1) = 7 <=> (0,2) = 8 | Lỗi: 19 | Conflicts: 31 | Tổng: 3.3594s | Sigma: 31.7989
Bước 112: Swap (7,4) = 8 <=> (7,3) = 2 | Lỗi: 19 | Conflicts: 29 | Tổng: 3.3854s | Sigma: 31.4809
Bước 113: Swap (7,3) = 8 <=> (7,4) = 2 | Lỗi: 19 | Conflicts: 31 | Tổng: 3.4190s | Sigma: 31.1661
Bước 114: Swap (7,4) = 8 <=> (7,3) = 2 | Lỗi: 19 | Conflicts: 29 | Tổng: 3.4460s | Sigma: 30.8544
Bước 115: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi: 15 | Conflicts: 23 | Tổng: 3.4719s | Sigma: 30.5459
Bước 116: Swap (6,4) = 2 <=> (7,3) = 7 | Lỗi: 11 | Conflicts: 18 | Tổng: 3.4978s | Sigma: 30.2404
Bước 117: Swap (0,0) = 8 <=> (0,2) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 3.5284s | Sigma: 29.9380
Bước 118: Swap (0,8) = 2 <=> (2,6) = 5 | Lỗi:  9 | Conflicts: 14 | Tổng: 3.5563s | Sigma: 29.6387
Bước 119: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 13 | Conflicts: 20 | Tổng: 3.5838s | Sigma: 29.3423
Bước 120: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi:  9 | Conflicts: 14 | Tổng: 3.6109s | Sigma: 29.0488
Bước 121: Swap (0,2) = 8 <=> (0,0) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 3.6361s | Sigma: 28.7584
Bước 122: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 14 | Conflicts: 22 | Tổng: 3.6660s | Sigma: 28.4708
Bước 123: Swap (0,7) = 2 <=> (0,8) = 1 | Lỗi: 16 | Conflicts: 25 | Tổng: 3.6985s | Sigma: 28.1861
Bước 124: Swap (1,7) = 5 <=> (2,6) = 3 | Lỗi: 13 | Conflicts: 21 | Tổng: 3.7335s | Sigma: 27.9042
Bước 125: Swap (0,7) = 3 <=> (2,6) = 2 | Lỗi: 16 | Conflicts: 25 | Tổng: 3.7657s | Sigma: 27.6252
Bước 126: Swap (6,4) = 8 <=> (7,4) = 2 | Lỗi: 18 | Conflicts: 29 | Tổng: 3.7963s | Sigma: 27.3489
Bước 127: Swap (2,1) = 8 <=> (0,2) = 7 | Lỗi: 17 | Conflicts: 27 | Tổng: 3.8303s | Sigma: 27.0754
Bước 128: Swap (0,0) = 8 <=> (2,1) = 4 | Lỗi: 13 | Conflicts: 21 | Tổng: 3.8610s | Sigma: 26.8047
Bước 129: Swap (0,8) = 2 <=> (2,6) = 1 | Lỗi: 11 | Conflicts: 17 | Tổng: 3.8880s | Sigma: 26.5366
Bước 130: Swap (7,3) = 8 <=> (6,4) = 7 | Lỗi: 13 | Conflicts: 20 | Tổng: 3.9187s | Sigma: 26.0085
Bước 131: Swap (1,7) = 1 <=> (2,6) = 5 | Lỗi: 12 | Conflicts: 19 | Tổng: 3.9511s | Sigma: 25.7485
Bước 132: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi:  8 | Conflicts: 13 | Tổng: 3.9803s | Sigma: 25.4910
Bước 133: Swap (0,2) = 4 <=> (2,1) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 4.0082s | Sigma: 25.2361
Bước 134: Swap (0,2) = 8 <=> (0,0) = 4 | Lỗi: 13 | Conflicts: 21 | Tổng: 4.0352s | Sigma: 24.9837
Bước 135: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 17 | Conflicts: 27 | Tổng: 4.0662s | Sigma: 24.7339
Bước 136: Swap (2,6) = 1 <=> (1,7) = 5 | Lỗi: 18 | Conflicts: 28 | Tổng: 4.0992s | Sigma: 24.4865
Bước 137: Swap (0,0) = 7 <=> (2,1) = 4 | Lỗi: 15 | Conflicts: 24 | Tổng: 4.1310s | Sigma: 24.2417
Bước 138: Swap (0,7) = 1 <=> (2,6) = 3 | Lỗi: 12 | Conflicts: 21 | Tổng: 4.1643s | Sigma: 23.9992
Bước 139: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi:  8 | Conflicts: 15 | Tổng: 4.1975s | Sigma: 23.7593
