=== Log giải Sudoku bằng Simulated Annealing ===
Bước 95: Swap (9,13) = 16 <=> (10,15) = 1 | Lỗi: 96 | Conflicts: 146 | Tổng: 0.1559s | Sigma: 38.4896
Bước 96: Swap (3,7) = 10 <=> (2,5) = 14 | Lỗi: 96 | Conflicts: 147 | Tổng: 0.1571s | Sigma: 38.1047
Bước 97: Swap (7,10) = 3 <=> (5,8) = 12 | Lỗi: 95 | Conflicts: 147 | Tổng: 0.1583s | Sigma: 37.7237
Bước 98: Swap (9,13) = 1 <=> (10,15) = 16 | Lỗi: 95 | Conflicts: 146 | Tổng: 0.1594s | Sigma: 37.3464
Bước 99: Swap (0,8) = 6 <=> (3,11) = 8 | Lỗi: 95 | Conflicts: 145 | Tổng: 0.1606s | Sigma: 36.9730
Bước 100: Swap (15,7) = 5 <=> (14,6) = 8 | Lỗi: 99 | Conflicts: 150 | Tổng: 0.1617s | Sigma: 36.6032
Bước 101: Swap (2,2) = 7 <=> (3,0) = 12 | Lỗi: 97 | Conflicts: 149 | Tổng: 0.1629s | Sigma: 36.2372
Bước 102: Swap (15,9) = 6 <=> (12,11) = 11 | Lỗi: 99 | Conflicts: 150 | Tổng: 0.1641s | Sigma: 35.8748
Bước 103: Swap (15,13) = 9 <=> (12,14) = 13 | Lỗi: 99 | Conflicts: 149 | Tổng: 0.1652s | Sigma: 35.5161
Bước 104: Swap (15,9) = 12 <=> (14,9) = 6 | Lỗi: 100 | Conflicts: 152 | Tổng: 0.1669s | Sigma: 35.1609
Bước 105: Swap (7,0) = 10 <=> (4,0) = 1 | Lỗi: 99 | Conflicts: 150 | Tổng: 0.1683s | Sigma: 34.8093
Bước 106: Swap (2,14) = 11 <=> (3,15) = 13 | Lỗi: 95 | Conflicts: 145 | Tổng: 0.1699s | Sigma: 34.4612
Bước 107: Swap (12,5) = 4 <=> (14,5) = 1 | Lỗi: 94 | Conflicts: 143 | Tổng: 0.1717s | Sigma: 34.1166
Bước 108: Swap (11,5) = 12 <=> (10,5) = 6 | Lỗi: 95 | Conflicts: 145 | Tổng: 0.1734s | Sigma: 33.7754
Bước 109: Swap (6,15) = 6 <=> (5,12) = 3 | Lỗi: 97 | Conflicts: 147 | Tổng: 0.1751s | Sigma: 33.4377
Bước 110: Swap (0,9) = 6 <=> (0,8) = 11 | Lỗi: 97 | Conflicts: 146 | Tổng: 0.1763s | Sigma: 33.1033
Bước 111: Swap (7,8) = 8 <=> (4,8) = 16 | Lỗi: 98 | Conflicts: 148 | Tổng: 0.1778s | Sigma: 32.7723
Bước 112: Swap (9,10) = 12 <=> (9,11) = 16 | Lỗi: 98 | Conflicts: 149 | Tổng: 0.1792s | Sigma: 32.4446
Bước 113: Swap (6,6) = 10 <=> (4,5) = 9 | Lỗi: 101 | Conflicts: 152 | Tổng: 0.1803s | Sigma: 32.1201
Bước 114: Swap (9,13) = 6 <=> (10,14) = 1 | Lỗi: 100 | Conflicts: 150 | Tổng: 0.1817s | Sigma: 31.4809
Bước 115: Swap (9,14) = 5 <=> (8,13) = 7 | Lỗi: 100 | Conflicts: 152 | Tổng: 0.1833s | Sigma: 31.1661
Bước 116: Swap (0,6) = 10 <=> (3,7) = 15 | Lỗi: 98 | Conflicts: 150 | Tổng: 0.1848s | Sigma: 30.8544
Bước 117: Swap (15,0) = 11 <=> (12,0) = 15 | Lỗi: 96 | Conflicts: 147 | Tổng: 0.1860s | Sigma: 30.5459
Bước 118: Swap (9,8) = 16 <=> (9,11) = 7 | Lỗi: 97 | Conflicts: 146 | Tổng: 0.1873s | Sigma: 30.2404
Bước 119: Swap (6,2) = 13 <=> (4,3) = 16 | Lỗi: 99 | Conflicts: 147 | Tổng: 0.1884s | Sigma: 29.9380
Bước 120: Swap (8,4) = 6 <=> (10,5) = 9 | Lỗi: 101 | Conflicts: 147 | Tổng: 0.1896s | Sigma: 29.6387
Bước 121: Swap (12,2) = 8 <=> (14,1) = 9 | Lỗi: 103 | Conflicts: 150 | Tổng: 0.1908s | Sigma: 29.3423
Bước 122: Swap (3,7) = 6 <=> (2,6) = 15 | Lỗi: 103 | Conflicts: 151 | Tổng: 0.1920s | Sigma: 29.0488
Bước 123: Swap (12,11) = 7 <=> (14,10) = 11 | Lỗi: 103 | Conflicts: 151 | Tổng: 0.1931s | Sigma: 28.7584
Bước 124: Swap (5,14) = 2 <=> (5,13) = 15 | Lỗi: 102 | Conflicts: 150 | Tổng: 0.1943s | Sigma: 28.4708
Bước 125: Swap (2,9) = 10 <=> (3,9) = 3 | Lỗi: 102 | Conflicts: 149 | Tổng: 0.1957s | Sigma: 28.1861
Bước 126: Swap (2,6) = 4 <=> (0,4) = 15 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.1970s | Sigma: 27.9042
Bước 127: Swap (12,0) = 9 <=> (14,1) = 15 | Lỗi: 104 | Conflicts: 153 | Tổng: 0.1981s | Sigma: 27.6252
Bước 128: Swap (12,0) = 8 <=> (12,2) = 9 | Lỗi: 104 | Conflicts: 152 | Tổng: 0.1997s | Sigma: 27.3489
Bước 129: Swap (8,12) = 7 <=> (8,13) = 14 | Lỗi: 103 | Conflicts: 150 | Tổng: 0.2010s | Sigma: 27.0754
Bước 130: Swap (5,8) = 13 <=> (7,9) = 12 | Lỗi: 104 | Conflicts: 148 | Tổng: 0.2022s | Sigma: 26.8047
Bước 131: Swap (3,7) = 10 <=> (0,6) = 6 | Lỗi: 104 | Conflicts: 148 | Tổng: 0.2033s | Sigma: 26.5366
Bước 132: Swap (2,9) = 8 <=> (3,11) = 10 | Lỗi: 105 | Conflicts: 148 | Tổng: 0.2045s | Sigma: 26.2713
Bước 133: Swap (8,7) = 6 <=> (8,4) = 5 | Lỗi: 105 | Conflicts: 150 | Tổng: 0.2059s | Sigma: 26.0085
Bước 134: Swap (4,10) = 13 <=> (5,8) = 5 | Lỗi: 104 | Conflicts: 149 | Tổng: 0.2071s | Sigma: 25.7485
Bước 135: Swap (6,14) = 10 <=> (7,13) = 12 | Lỗi: 102 | Conflicts: 147 | Tổng: 0.2083s | Sigma: 25.4910
Bước 136: Swap (13,12) = 13 <=> (12,14) = 12 | Lỗi: 104 | Conflicts: 149 | Tổng: 0.2094s | Sigma: 25.2361
Bước 137: Swap (9,5) = 9 <=> (10,5) = 7 | Lỗi: 104 | Conflicts: 150 | Tổng: 0.2106s | Sigma: 24.9837
Bước 138: Swap (12,0) = 9 <=> (12,2) = 8 | Lỗi: 104 | Conflicts: 151 | Tổng: 0.2118s | Sigma: 24.7339
Bước 139: Swap (0,4) = 7 <=> (1,5) = 15 | Lỗi: 104 | Conflicts: 150 | Tổng: 0.2129s | Sigma: 24.4865
Bước 140: Swap (5,12) = 10 <=> (6,14) = 3 | Lỗi: 103 | Conflicts: 149 | Tổng: 0.2141s | Sigma: 24.2417
Bước 141: Swap (1,5) = 10 <=> (3,7) = 15 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.2153s | Sigma: 23.9992
Bước 142: Swap (4,5) = 3 <=> (5,5) = 9 | Lỗi: 102 | Conflicts: 152 | Tổng: 0.2176s | Sigma: 23.7593
Bước 143: Swap (14,14) = 3 <=> (13,14) = 4 | Lỗi: 102 | Conflicts: 151 | Tổng: 0.2192s | Sigma: 23.5217
Bước 144: Swap (12,2) = 15 <=> (14,1) = 8 | Lỗi: 100 | Conflicts: 148 | Tổng: 0.2204s | Sigma: 23.2864
Bước 145: Swap (9,13) = 5 <=> (9,14) = 6 | Lỗi: 99 | Conflicts: 146 | Tổng: 0.2215s | Sigma: 23.0536
Bước 146: Swap (4,1) = 16 <=> (4,3) = 9 | Lỗi: 99 | Conflicts: 146 | Tổng: 0.2227s | Sigma: 22.8230
Bước 147: Swap (9,13) = 6 <=> (9,14) = 5 | Lỗi: 100 | Conflicts: 148 | Tổng: 0.2238s | Sigma: 22.5948
Bước 148: Swap (12,6) = 4 <=> (12,5) = 11 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.2252s | Sigma: 22.1452
Bước 149: Swap (7,9) = 16 <=> (4,8) = 12 | Lỗi: 99 | Conflicts: 148 | Tổng: 0.2265s | Sigma: 21.9237
Bước 150: Swap (9,10) = 6 <=> (11,9) = 12 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.2277s | Sigma: 21.7045
Bước 151: Swap (10,5) = 2 <=> (11,7) = 7 | Lỗi: 102 | Conflicts: 150 | Tổng: 0.2291s | Sigma: 21.2726
Bước 152: Swap (9,11) = 1 <=> (9,9) = 7 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.2303s | Sigma: 21.0598
Bước 153: Swap (0,6) = 4 <=> (2,6) = 6 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.2315s | Sigma: 20.8492
Bước 154: Swap (14,5) = 4 <=> (12,6) = 1 | Lỗi: 101 | Conflicts: 150 | Tổng: 0.2332s | Sigma: 20.6408
Bước 155: Swap (4,1) = 10 <=> (7,0) = 16 | Lỗi: 100 | Conflicts: 149 | Tổng: 0.2350s | Sigma: 20.4343
Bước 156: Swap (12,14) = 13 <=> (13,12) = 12 | Lỗi: 98 | Conflicts: 147 | Tổng: 0.2366s | Sigma: 20.2300
Bước 157: Swap (8,2) = 13 <=> (11,2) = 10 | Lỗi: 97 | Conflicts: 145 | Tổng: 0.2397s | Sigma: 20.0277
Bước 158: Swap (8,12) = 6 <=> (9,13) = 7 | Lỗi: 99 | Conflicts: 146 | Tổng: 0.2422s | Sigma: 19.8274
Bước 159: Swap (2,9) = 10 <=> (3,11) = 8 | Lỗi: 99 | Conflicts: 145 | Tổng: 0.2449s | Sigma: 19.6292
Bước 160: Swap (9,6) = 5 <=> (8,4) = 11 | Lỗi: 98 | Conflicts: 144 | Tổng: 0.2469s | Sigma: 19.4329
Bước 161: Swap (5,12) = 2 <=> (5,14) = 10 | Lỗi: 98 | Conflicts: 144 | Tổng: 0.2493s | Sigma: 19.2385
Bước 162: Swap (12,12) = 12 <=> (13,12) = 14 | Lỗi: 100 | Conflicts: 148 | Tổng: 0.2516s | Sigma: 19.0461
Bước 163: Swap (8,0) = 7 <=> (9,0) = 6 | Lỗi: 99 | Conflicts: 147 | Tổng: 0.2537s | Sigma: 18.8557
Bước 164: Swap (10,2) = 13 <=> (8,2) = 16 | Lỗi: 98 | Conflicts: 145 | Tổng: 0.2558s | Sigma: 18.6671
Bước 165: Swap (7,8) = 12 <=> (4,8) = 8 | Lỗi: 98 | Conflicts: 145 | Tổng: 0.2580s | Sigma: 18.4805
Bước 166: Swap (2,6) = 7 <=> (0,4) = 6 | Lỗi: 98 | Conflicts: 144 | Tổng: 0.2604s | Sigma: 18.2957
Bước 167: Swap (5,14) = 12 <=> (7,13) = 10 | Lỗi: 100 | Conflicts: 146 | Tổng: 0.2630s | Sigma: 18.1127
Bước 168: Swap (11,11) = 16 <=> (9,8) = 4 | Lỗi: 100 | Conflicts: 146 | Tổng: 0.2656s | Sigma: 17.9316
Bước 169: Swap (14,5) = 5 <=> (15,7) = 4 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.2686s | Sigma: 17.7523
Bước 170: Swap (8,4) = 9 <=> (9,5) = 11 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.2716s | Sigma: 17.5747
Bước 171: Swap (7,12) = 6 <=> (6,15) = 1 | Lỗi: 100 | Conflicts: 147 | Tổng: 0.2755s | Sigma: 17.3990
Bước 172: Swap (7,13) = 7 <=> (4,13) = 10 | Lỗi: 102 | Conflicts: 147 | Tổng: 0.2781s | Sigma: 17.2250
Bước 173: Swap (14,6) = 4 <=> (15,7) = 8 | Lỗi: 100 | Conflicts: 143 | Tổng: 0.2807s | Sigma: 17.0527
Bước 174: Swap (0,8) = 8 <=> (3,11) = 11 | Lỗi: 100 | Conflicts: 143 | Tổng: 0.2829s | Sigma: 16.8822
Bước 175: Swap (12,12) = 13 <=> (12,14) = 12 | Lỗi: 100 | Conflicts: 141 | Tổng: 0.2853s | Sigma: 16.7134
Bước 176: Swap (9,13) = 5 <=> (9,14) = 7 | Lỗi: 98 | Conflicts: 140 | Tổng: 0.2874s | Sigma: 16.5463
Bước 177: Swap (3,15) = 11 <=> (2,14) = 13 | Lỗi: 102 | Conflicts: 145 | Tổng: 0.2891s | Sigma: 16.3808
Bước 178: Swap (6,6) = 9 <=> (5,5) = 10 | Lỗi: 100 | Conflicts: 142 | Tổng: 0.2905s | Sigma: 16.2170
Bước 179: Swap (6,6) = 12 <=> (6,7) = 9 | Lỗi: 102 | Conflicts: 144 | Tổng: 0.2919s | Sigma: 16.0548
Bước 180: Swap (6,7) = 12 <=> (6,6) = 9 | Lỗi: 100 | Conflicts: 142 | Tổng: 0.2933s | Sigma: 15.8943
Bước 181: Swap (2,9) = 11 <=> (3,11) = 10 | Lỗi: 101 | Conflicts: 145 | Tổng: 0.2946s | Sigma: 15.7353
