=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 95: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi:  6 | Conflicts: 10 | Tổng: 48.6870s | Sigma: 36.9730
Bước 96: Swap (3,5) = 6 <=> (4,4) = 7 | Lỗi:  7 | Conflicts: 12 | Tổng: 49.2064s | Sigma: 36.6032
Bước 97: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi: 11 | Conflicts: 17 | Tổng: 49.7240s | Sigma: 36.2372
Bước 98: Swap (4,1) = 5 <=> (3,2) = 4 | Lỗi: 13 | Conflicts: 20 | Tổng: 50.2403s | Sigma: 35.8748
Bước 99: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 16 | Conflicts: 24 | Tổng: 50.7595s | Sigma: 35.5161
Bước 100: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 20 | Conflicts: 30 | Tổng: 51.2782s | Sigma: 35.1609
Bước 101: Swap (4,1) = 2 <=> (5,2) = 5 | Lỗi: 17 | Conflicts: 26 | Tổng: 51.7969s | Sigma: 34.8093
Bước 102: Swap (5,2) = 2 <=> (4,1) = 5 | Lỗi: 20 | Conflicts: 30 | Tổng: 52.3144s | Sigma: 34.4612
Bước 103: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 22 | Conflicts: 31 | Tổng: 52.8334s | Sigma: 34.1166
Bước 104: Swap (5,5) = 7 <=> (4,4) = 4 | Lỗi: 20 | Conflicts: 28 | Tổng: 53.3520s | Sigma: 33.7754
Bước 105: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 18 | Conflicts: 27 | Tổng: 53.8703s | Sigma: 33.4377
Bước 106: Swap (5,7) = 7 <=> (4,6) = 1 | Lỗi: 15 | Conflicts: 23 | Tổng: 54.3870s | Sigma: 33.1033
Bước 107: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi: 11 | Conflicts: 17 | Tổng: 54.9053s | Sigma: 32.7723
Bước 108: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 15 | Conflicts: 23 | Tổng: 55.4251s | Sigma: 32.4446
Bước 109: Swap (4,4) = 6 <=> (3,5) = 4 | Lỗi: 18 | Conflicts: 26 | Tổng: 55.9443s | Sigma: 32.1201
Bước 110: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi: 14 | Conflicts: 20 | Tổng: 56.4633s | Sigma: 31.7989
Bước 111: Swap (0,0) = 6 <=> (0,1) = 5 | Lỗi: 16 | Conflicts: 22 | Tổng: 56.9845s | Sigma: 31.4809
Bước 112: Swap (2,5) = 5 <=> (0,3) = 7 | Lỗi: 12 | Conflicts: 18 | Tổng: 57.5031s | Sigma: 31.1661
Bước 113: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi: 15 | Conflicts: 22 | Tổng: 58.0213s | Sigma: 30.8544
Bước 114: Swap (5,7) = 7 <=> (4,6) = 1 | Lỗi: 12 | Conflicts: 18 | Tổng: 58.5395s | Sigma: 30.2404
Bước 115: Swap (0,3) = 5 <=> (2,5) = 7 | Lỗi: 16 | Conflicts: 22 | Tổng: 59.0583s | Sigma: 29.9380
Bước 116: Swap (1,6) = 9 <=> (2,8) = 6 | Lỗi: 20 | Conflicts: 28 | Tổng: 59.5781s | Sigma: 29.6387
Bước 117: Swap (5,2) = 4 <=> (3,2) = 2 | Lỗi: 19 | Conflicts: 27 | Tổng: 60.0960s | Sigma: 29.3423
Bước 118: Swap (2,8) = 9 <=> (1,6) = 6 | Lỗi: 15 | Conflicts: 21 | Tổng: 60.6088s | Sigma: 29.0488
Bước 119: Swap (5,5) = 6 <=> (4,4) = 7 | Lỗi: 13 | Conflicts: 19 | Tổng: 61.1244s | Sigma: 28.7584
Bước 120: Swap (5,5) = 4 <=> (3,5) = 6 | Lỗi: 14 | Conflicts: 20 | Tổng: 61.6442s | Sigma: 28.4708
Bước 121: Swap (2,5) = 5 <=> (0,3) = 7 | Lỗi: 11 | Conflicts: 16 | Tổng: 62.1639s | Sigma: 28.1861
Bước 122: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 14 | Conflicts: 20 | Tổng: 62.6825s | Sigma: 27.6252
Bước 123: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi: 11 | Conflicts: 16 | Tổng: 63.2007s | Sigma: 27.3489
Bước 124: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 14 | Conflicts: 20 | Tổng: 63.7180s | Sigma: 27.0754
Bước 125: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 18 | Conflicts: 26 | Tổng: 64.2358s | Sigma: 26.8047
Bước 126: Swap (2,5) = 5 <=> (0,3) = 7 | Lỗi: 15 | Conflicts: 22 | Tổng: 64.7532s | Sigma: 26.5366
Bước 127: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 13 | Conflicts: 20 | Tổng: 65.2697s | Sigma: 26.2713
Bước 128: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi:  9 | Conflicts: 14 | Tổng: 65.7849s | Sigma: 26.0085
Bước 129: Swap (4,1) = 4 <=> (5,2) = 5 | Lỗi:  8 | Conflicts: 14 | Tổng: 66.3029s | Sigma: 25.7485
Bước 130: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi: 12 | Conflicts: 19 | Tổng: 66.8193s | Sigma: 25.4910
Bước 131: Swap (0,3) = 5 <=> (2,5) = 7 | Lỗi: 15 | Conflicts: 23 | Tổng: 67.3376s | Sigma: 25.2361
Bước 132: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 19 | Conflicts: 29 | Tổng: 67.8517s | Sigma: 24.9837
Bước 133: Swap (5,2) = 2 <=> (3,2) = 5 | Lỗi: 18 | Conflicts: 27 | Tổng: 68.3668s | Sigma: 24.7339
Bước 134: Swap (0,0) = 6 <=> (0,1) = 5 | Lỗi: 20 | Conflicts: 29 | Tổng: 68.8830s | Sigma: 24.4865
Bước 135: Swap (4,4) = 4 <=> (5,5) = 7 | Lỗi: 19 | Conflicts: 27 | Tổng: 69.3993s | Sigma: 24.2417
Bước 136: Swap (4,4) = 7 <=> (5,5) = 4 | Lỗi: 20 | Conflicts: 29 | Tổng: 69.9168s | Sigma: 23.9992
Bước 137: Swap (2,8) = 9 <=> (1,6) = 6 | Lỗi: 16 | Conflicts: 23 | Tổng: 70.4310s | Sigma: 23.7593
Bước 138: Swap (5,7) = 7 <=> (4,6) = 1 | Lỗi: 12 | Conflicts: 19 | Tổng: 70.9482s | Sigma: 23.5217
Bước 139: Swap (3,2) = 2 <=> (5,2) = 5 | Lỗi: 13 | Conflicts: 21 | Tổng: 71.4664s | Sigma: 23.2864
Bước 140: Swap (0,0) = 5 <=> (0,1) = 6 | Lỗi: 11 | Conflicts: 19 | Tổng: 71.9841s | Sigma: 23.0536
Bước 141: Swap (4,1) = 5 <=> (5,2) = 4 | Lỗi: 12 | Conflicts: 19 | Tổng: 72.5028s | Sigma: 22.8230
Bước 142: Swap (4,4) = 4 <=> (5,5) = 7 | Lỗi: 10 | Conflicts: 15 | Tổng: 73.0179s | Sigma: 22.5948
Bước 143: Swap (2,5) = 5 <=> (0,3) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 73.5342s | Sigma: 22.3689
Bước 144: Swap (0,0) = 6 <=> (0,1) = 5 | Lỗi:  8 | Conflicts: 12 | Tổng: 74.0526s | Sigma: 21.9237
Bước 145: Swap (5,2) = 2 <=> (3,2) = 4 | Lỗi:  9 | Conflicts: 14 | Tổng: 74.5721s | Sigma: 21.7045
Bước 146: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi:  7 | Conflicts: 12 | Tổng: 75.0883s | Sigma: 21.2726
Bước 147: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi: 10 | Conflicts: 16 | Tổng: 75.6085s | Sigma: 21.0598
Bước 148: Swap (5,7) = 7 <=> (4,6) = 1 | Lỗi:  7 | Conflicts: 12 | Tổng: 76.1270s | Sigma: 20.8492
Bước 149: Swap (5,2) = 4 <=> (3,2) = 2 | Lỗi:  6 | Conflicts: 10 | Tổng: 76.6443s | Sigma: 20.6408
Bước 150: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi:  9 | Conflicts: 14 | Tổng: 77.1627s | Sigma: 20.4343
Bước 151: Swap (3,5) = 4 <=> (4,4) = 6 | Lỗi: 12 | Conflicts: 18 | Tổng: 77.6757s | Sigma: 20.2300
Bước 152: Swap (0,3) = 5 <=> (2,5) = 7 | Lỗi: 16 | Conflicts: 23 | Tổng: 78.1923s | Sigma: 20.0277
Bước 153: Swap (4,4) = 4 <=> (3,5) = 6 | Lỗi: 13 | Conflicts: 19 | Tổng: 78.7103s | Sigma: 19.8274
Bước 154: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 17 | Conflicts: 25 | Tổng: 79.2293s | Sigma: 19.4329
Bước 155: Swap (2,8) = 9 <=> (1,6) = 6 | Lỗi: 13 | Conflicts: 19 | Tổng: 79.7473s | Sigma: 19.2385
Bước 156: Swap (4,1) = 4 <=> (5,2) = 5 | Lỗi: 14 | Conflicts: 21 | Tổng: 80.2651s | Sigma: 19.0461
Bước 157: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi: 11 | Conflicts: 17 | Tổng: 80.7844s | Sigma: 18.8557
Bước 158: Swap (4,4) = 7 <=> (5,5) = 4 | Lỗi: 11 | Conflicts: 19 | Tổng: 81.3057s | Sigma: 18.6671
Bước 159: Swap (5,2) = 2 <=> (3,2) = 5 | Lỗi: 10 | Conflicts: 17 | Tổng: 81.8197s | Sigma: 18.4805
Bước 160: Swap (5,5) = 6 <=> (3,5) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 82.3384s | Sigma: 18.2957
Bước 161: Swap (5,2) = 4 <=> (4,1) = 2 | Lỗi:  7 | Conflicts: 11 | Tổng: 82.8604s | Sigma: 17.7523
Bước 162: Swap (5,5) = 4 <=> (3,5) = 6 | Lỗi:  8 | Conflicts: 13 | Tổng: 83.3780s | Sigma: 17.5747
